SENT_BEGIN [] sil
SENT_END [] sil
aada				aa d a
aadare				aa d a r e
aaloocane			aa l o c a n e	
aatana				aa t a n a
abhinaqdanegalxu		a bh i n a n d a n e g a lx u
adannu				a d a nn u
alla				a ll a
allawee			a ll a w e
allittu			a ll i tt u
alloqdu			a ll o n d u
aqgiikarisikoqdxanu		a ng ii k a r i s i k o n dx a n u
arasaru			a r a s a r u
areebikeu			a r ee b i k
atyamuulya			a t y a m uu l y a 
awadhiyalle			a w a dh i y a ll e
awanige			a w a n i g e
awaru				a w a r u
bahu				b a h u
balxige			b a lx i g e
banxnxada			b a nxnx a d a
baqdiddaane			b a n d i dd aa n e
baqgaalxi			b a ng aa lx i
baqgaarada			b a ng aa r a d a
batxtxegalxannu		b a txtx e g a lx a nn u
bayakeyiqda			b a y a k e y i n d a
belxagina			b e lx a g i n a
belxeyitu			b e lx e y i t u
bhaasxegalxeqdare		bh aa sx e g a lx e n d a r e
biireubaleu			b ii r b a l
coolxaraajyawannu		c oo lx a r aa j y a w a nn u
daari				d aa r i
dhareumaatmanaada		dh a r m aa t m a n aa d a
dusxtxabuddhiya		d u sx tx a b u dd i y a
eelxu				ee lx u
eereupadxisi			ee r p a dx i s i
ellaa				e ll aa
enu				e n u
eqbudaagittu			e m b u d aa g i tt u
gaalpheu			g aa l ph
haarutide			h aa r u t i d e
hakki				h a kk i
hanxnxige			h a nxnx i g e
hanxnxu			h a nxnx u
hidxida			h i dx i d a
hiqduustaani			h i n d uu s t aa n i
hoogu				h oo g u
horisi				h o r i s i
idannu				i d a nn u
idu				i d u
illige				i ll i g e
iqglisxeu			i ng l i sx
jaawadalli			j aa w a d a ll i
kaaladalli			k aa l a d a ll i
kaawalu			k aa w a l u
kaayuttidda			k aa y u tt i dd a
kalxuhisidaru			k a lx u h i s i d a r u
kannadxa			k a nn a dx a
kappu				k a pp u
kasxtxapatxtxu			k a sx tx a p a txtx u
klabeu				k l a b
kodxabeku			k o dx a b e k  u
kodxugege			k o dx u g e g e
kodxugeyannee			k o dx u g e y a nn ee
kotxtxa			k o txtx a
kotxtxaruu			k o txtx a r uu
kudure				k u d u r e
kuudxi				k uu dx i
maadxidaru			m aa dx i d a r u
maadxuttiddaru			m aa dx u tt i dd a r u
maatanaadxuwa			m aa t a n aa dx u w a
maimaretu			m ai m a r e t u
manassinallee			m a n a ss i n a ll e
maneya				m a n e y a
maqdi				m a n d i
maradalli			m a r a d a ll i
mattu				m a tt u
mugdha				m u g dh a
muutxeyannuu			m uu tx e y a nn uu
myaaqdxarineu			m y aa n d a r i n
naanu				n aa n u
naanxyagalxa			n aa nx y a g a lx a
nadxedu			n a dx e d u
nanage				n a n a g e
nareeqdranaatheu		n a r ee n d r a n aa th
nidde				n i dd e
nijawaagiyuu			n i j a w aa g i y uu
ninna				n i nn a
noodxidiraa			n oo dx i d i r aa
obba				o bb a
olxlxeya			o lxlx e y a
oqdaagi			o n d aa g i
oqdaanoqdu			o n d aa n o n d u
oqdee				o n d ee
oqdu				o n d u
paalisuttiddanu		p aa l i s u tt i dd a n u
padya				p a d y a
pakkadalli			p a kk a d a ll i
phreqc				ph r e n c
pooreucugiiseu			p oo r c u g ii s
praareuthaneyannu		p r aa r th a n e y a nn u
prajegalxiqda			p r a j e g a lx i n d a
pramukha			p r a m u kh a
prapaqcadalli			p r a p a n c a d a ll i
pratiphalada			p r a t i ph a l a d a
pratiphala			p r a t i ph a l a
priitiyannu			p r ii t i y a nn u
priitiya			p r ii t i y a
priitiyiqda			p r ii t i y i n d a
puureuwanaama			p uu r w a n aa m a
raajana			r aa j a n a
raajanu			r aa j a n u
raajaru			r aa j a r u
raatriyellaa			r aa t r i y e ll a
raitana			r ai t a n a
raitanidda			r ai t a n i dd a
raitanobbana			r ai t a n o bb a n a
raita				r ai t a
rasxyaneu			r a sx y a n
saamaqta			s aa m a n t a
saari				s aa r i
samaya				s a m a y a
saqtoosxapatxtxa		s a n t oo sx a p a txtx a
sawaarige			s a w aa r i g e
seebu				s ee b u
seerabeeku			s ee r a b ee k u
shaqkisabaaradu		sh a n k i s a b aa r a d u
shriimaqta			sh r ii m a n t a
siguwudu			s i g u w u d u
spuureutige			s p uu r t i g e
suprasiddharuu			s u p r a s i dd a r uu
swaami				s w aa m i
swiikarisuwudilla		s w ii k a r i s u w u d i ll a
swiikarisuwudu			s w ii k a r i s u w u d u
tagedukolxlxutteene		t a g e d u k o lxlx u tt ee n e
taqdiddu			t a n d i dd u
taqdiruwe			t a n d i r u w e
tegedukoqdxu			t e g e d u k o n dx u
tootxadallidda			t oo tx a d a ll i dd a
totxtxaru			t o txtx a r u
tuqbaa				t u m b aa
ucitawaagi			u c i t a w aa g i
ucitawalla			u c i t a w a ll a 
udyaanawanadalli		u d y aa n a w a n a d a ll i 
wasatigalxannuu		w a s a t i g a lx a nn uu 
wastuwannuu			w a s t u w a nn uu
wisheesxawaagide		w i sh ee sx a w aa g i d e
wiwekaanaqdara			w i w e k aa n a n d a r a
yaawa				y aa w a
yoogiyu			y oo g i y u
yoogyaraadawara		y oo g y a r aa d a w a r a
yoogyawaada			y oo g y a w aa d a
sil []	sil
